School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,31.0,13.0,18.0,419.0,-13.93,-7.53,8.0,10.0,10.0,5.0,2.0,12.0,71.25806451612904,73.29032258064517,1250.0,24.870967741935484,54.96774193548387,452.0,6.741935483870968,18.387096774193548,367.0,14.774193548387096,21.06451612903226,701.0,23.29032258064516,8.67741935483871,31.967741935483872,13.612903225806452,7.516129032258065,2.5161290322580645,13.483870967741936,21.967741935483872,69.7,101.4,383.0,335.0,548.0,0.49,547.0,107.0,66.0,514.0,172.0,0.26,269.0,,,,2016.0
Air Force,32.0,14.0,18.0,438.0,-5.51,0.66,5.0,13.0,12.0,5.0,2.0,13.0,68.40625,72.8125,1300.0,23.5,54.9375,428.0,6.3125,18625.0,339.0,15.09375,22.09375,683.0,25.6875,8.90625,34.59375,13125.0,6125.0,1.8125,13.21875,19.28125,68.9,97.7,402.0,339.0,523.0,483.0,0.5589999999999999,87.0,59.0,485.0,168.0,249.0,275.0,,,,2016.0
Akron,35.0,26.0,9.0,743.0,5.55,-1.24,13.0,5.0,15.0,0.0,6.0,8.0,76.62857142857143,68.02857142857142,1405.0,26.02857142857143,60.31428571428572,432.0,11.685714285714283,30.542857142857144,383.0,12.885714285714286,18.82857142857143,684.0,26.77142857142857,10.657142857142857,37.42857142857143,14.485714285714286,5.428571428571429,3.914285714285714,10.885714285714286,17.65714285714286,69.2,110.4,312.0,506.0,553.0,499.0,557.0,78.0,98.0,528.0,136.0,0.29,214.0,,,,2016.0
Alabama,33.0,18.0,15.0,545.0,7.14,8.62,8.0,10.0,10.0,4.0,5.0,8.0,66.45454545454545,67.93939393939394,1330.0,22.363636363636363,53.03030303030303,422.0,7.848484848484849,23.12121212121212,339.0,13.87878787878788,21.57575757575757,643.0,24.666666666666668,9.909090909090908,34.57575757575758,10.515151515151516,5.818181818181818,5.303030303030303,13.272727272727272,19.12121212121212,66.1,99.7,407.0,436.0,525.0,475.0,0.47,87.0,142.0,496.0,173.0,283.0,262.0,,,,2016.0
Alabama A&M,29.0,11.0,18.0,379.0,-13.47,-10.75,6.0,12.0,6.0,5.0,4.0,12.0,68.06896551724138,70.41379310344827,1175.0,23.48275862068965,56.27586206896552,417.0,6.0344827586206895,20.655172413793103,292.0,15.137931034482758,22.13793103448276,684.0,23.103448275862068,11.379310344827584,34.48275862068966,12.620689655172416,5.620689655172414,2.103448275862069,11.724137931034482,19.344827586206897,65.7,102.3,393.0,367.0,0.51,494.0,537.0,84.0,57.0,471.0,149.0,315.0,269.0,,,,2016.0
Alabama State,31.0,14.0,17.0,452.0,-13.11,-9.35,9.0,9.0,8.0,3.0,5.0,12.0,71.51612903225806,74.45161290322581,1260.0,25.41935483870968,61.87096774193548,411.0,6.935483870967742,20.870967741935484,332.0,13.741935483870968,20.096774193548388,684.0,24.580645161290324,12.612903225806452,37.193548387096776,12.0,5.838709677419355,3.4516129032258065,11.96774193548387,20.83870967741936,69.5,101.3,325.0,337.0,501.0,496.0,472.0,83.0,91.0,467.0,144.0,316.0,222.0,,,,2016.0
Albany (NY),33.0,24.0,9.0,727.0,0.93,-7.57,13.0,3.0,14.0,1.0,10.0,8.0,75.60606060606061,66.06060606060606,1335.0,25.69696969696969,56.06060606060606,458.0,5.696969696969697,17.78787878787879,0.32,18.51515151515152,24.666666666666668,751.0,26.939393939393938,11.727272727272728,38.66666666666666,12.424242424242424,6.545454545454546,1.5757575757575757,12.515151515151516,17.606060606060606,67.8,110.3,0.44,317.0,558.0,0.5539999999999999,483.0,95.0,45.0,509.0,156.0,351.0,0.33,,,,2016.0
Alcorn State,30.0,15.0,15.0,0.5,-16.01,-9.94,13.0,5.0,9.0,2.0,6.0,9.0,67.13333333333334,72.13333333333334,1225.0,23.03333333333333,56.4,408.0,5.8,18.866666666666667,307.0,15.266666666666667,22.53333333333333,678.0,22.933333333333334,12.8,35.733333333333334,9.066666666666666,4.466666666666667,3.7,14.3,18.266666666666666,66.5,99.0,0.4,335.0,0.5,508.0,0.3939999999999999,66.0,103.0,0.46,176.0,0.35,271.0,,,,2016.0
American,31.0,12.0,19.0,387.0,-14.18,-6.08,9.0,9.0,5.0,7.0,7.0,12.0,57.58064516129032,65.6774193548387,1250.0,20.35483870967742,47.96774193548387,424.0,6.290322580645161,18.451612903225808,341.0,10.580645161290322,15.193548387096774,696.0,21.161290322580644,7.032258064516129,28.193548387096776,11.225806451612904,5.67741935483871,2.225806451612903,13.806451612903226,18.258064516129032,62.0,92.2,317.0,385.0,522.0,0.4679999999999999,552.0,91.0,63.0,0.49,0.2,235.0,221.0,,,,2016.0
Appalachian State,31.0,9.0,22.0,0.29,-7.91,-1.1,7.0,13.0,6.0,7.0,2.0,12.0,70.54838709677419,77.35483870967742,1240.0,23.193548387096776,57.903225806451616,401.0,8.258064516129032,23.225806451612904,356.0,15.903225806451612,22.61290322580645,703.0,24.161290322580644,12.67741935483871,36.83870967741935,11.516129032258064,4.096774193548387,3.3225806451612905,14.903225806451612,21.483870967741936,70.8,99.6,391.0,401.0,514.0,497.0,497.0,0.0579999999999999,75.0,472.0,178.0,0.3289999999999999,275.0,,,,2016.0
Arizona,34.0,25.0,9.0,735.0,18.79,7.23,12.0,6.0,17.0,1.0,5.0,5.0,80.44117647058823,68.88235294117646,1390.0,27.823529411764707,57.94117647058823,0.48,6.5,17.058823529411764,381.0,18.294117647058822,25.38235294117647,721.0,28.647058823529413,11.588235294117649,40.23529411764706,14.264705882352942,4.823529411764706,4.735294117647059,13.0,18.264705882352946,69.8,112.8,438.0,294.0,575.0,565.0,513.0,68.0,113.0,536.0,157.0,349.0,316.0,6.0,R64,SOUTH,2016.0
