School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,31.0,11.0,20.0,355.0,-19.6,-4.12,2.0,12.0,9.0,5.0,0.0,14.0,71.41935483870968,71.87096774193549,1255.0,23.774193548387096,53.67741935483871,443.0,7.774193548387097,19.32258064516129,402.0,16.096774193548388,21.483870967741936,749.0,22.741935483870968,9.870967741935484,32.61290322580645,12.96774193548387,7.129032258064516,2.3225806451612905,14.612903225806452,20.677419354838708,67.7,104.2,0.4,0.36,559.0,502.0,545.0,104.0,65.0,515.0,186.0,304.0,0.3,,,,2014.0
Air Force,30.0,12.0,18.0,0.4,-4.08,1.71,6.0,12.0,8.0,9.0,3.0,8.0,66.0,69.13333333333334,1210.0,22.633333333333333,52.03333333333333,435.0,7.2,21.766666666666666,331.0,13.533333333333331,19.6,0.69,23.566666666666663,8.766666666666667,32.333333333333336,13.966666666666669,5.466666666666667,3.1333333333333333,13.333333333333334,18.766666666666666,65.4,100.1,377.0,418.0,538.0,488.0,617.0,83.0,99.0,504.0,179.0,267.0,0.26,,,,2014.0
Akron,34.0,21.0,13.0,618.0,1.16,-0.48,12.0,6.0,13.0,2.0,6.0,8.0,68.58823529411765,66.94117647058823,1375.0,23.91176470588235,54.55882352941177,438.0,7.029411764705882,20.294117647058822,346.0,13.735294117647058,22.058823529411764,623.0,22.44117647058824,12.117647058823527,34.55882352941177,11.382352941176473,6.617647058823529,4.176470588235294,13.117647058823527,17.823529411764707,65.5,103.6,404.0,372.0,527.0,0.51,476.0,0.1,105.0,503.0,168.0,352.0,252.0,,,,2014.0
Alabama,32.0,13.0,19.0,406.0,8.34,8.88,7.0,11.0,13.0,4.0,0.0,11.0,67.8125,67.1875,1295.0,23.15625,52.15625,444.0,5.71875,17125.0,334.0,15.78125,23.03125,685.0,22.8125,10.0,32.8125,10.96875,6.8125,4.28125,11875.0,18.96875,64.4,104.0,442.0,328.0,537.0,485.0,474.0,105.0,118.0,499.0,158.0,304.0,303.0,,,,2014.0
Alabama A&M,30.0,14.0,16.0,467.0,-13.86,-10.58,10.0,8.0,7.0,4.0,5.0,11.0,64.53333333333333,67.0,1215.0,21.866666666666667,53.36666666666667,0.41,6.066666666666666,18.7,324.0,14.733333333333333,22.466666666666665,656.0,23.83333333333333,10.0,33.833333333333336,12.666666666666666,6.233333333333333,4.166666666666667,13.2,21.433333333333334,66.5,95.9,421.0,0.35,504.0,471.0,579.0,93.0,0.11,467.0,171.0,281.0,276.0,,,,2014.0
Alabama State,32.0,19.0,13.0,594.0,-12.84,-11.4,12.0,6.0,13.0,1.0,5.0,10.0,70.78125,69.53125,1300.0,24.75,59125.0,419.0,5.46875,19125.0,286.0,15.8125,23375.0,676.0,23.46875,12.71875,36.1875,12.96875,6.78125,3.59375,11.78125,18.0625,68.1,102.3,395.0,323.0,504.0,495.0,524.0,98.0,92.0,465.0,144.0,336.0,267.0,,,,2014.0
Albany (NY),34.0,19.0,15.0,559.0,-3.31,-5.22,9.0,7.0,10.0,3.0,7.0,11.0,65.8529411764706,63.94117647058823,1375.0,22.5,50.97058823529412,441.0,4.794117647058823,13.323529411764708,0.36,16.058823529411764,21.41176470588235,0.75,24.47058823529412,10.088235294117649,34.55882352941177,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117649,17.058823529411764,63.0,103.3,0.42,261.0,539.0,525.0,492.0,85.0,86.0,488.0,171.0,319.0,315.0,16.0,R64,SOUTH,2014.0
Alcorn State,31.0,12.0,19.0,387.0,-15.95,-9.27,9.0,9.0,9.0,3.0,2.0,13.0,64.03225806451613,67.7741935483871,1265.0,22.35483870967742,53.483870967741936,418.0,4.387096774193548,14.483870967741936,303.0,14.935483870967742,22.83870967741936,654.0,21.193548387096776,9.741935483870968,30.93548387096774,9.129032258064516,5.967741935483871,3.741935483870968,11.483870967741936,18.61290322580645,64.8,96.8,427.0,271.0,498.0,473.0,408.0,0.09,0.1,459.0,151.0,293.0,279.0,,,,2014.0
American,33.0,20.0,13.0,606.0,0.69,-3.25,13.0,5.0,11.0,3.0,9.0,9.0,63.06060606060606,59.121212121212125,1325.0,22.666666666666668,46.27272727272727,0.49,6.2727272727272725,16.545454545454547,379.0,11.454545454545457,16.21212121212121,707.0,22.848484848484848,7.03030303030303,29.87878787878788,14.909090909090908,6.0,3.333333333333333,14.06060606060606,17.181818181818183,60.7,103.4,0.35,358.0,584.0,506.0,0.6579999999999999,98.0,99.0,558.0,207.0,265.0,248.0,15.0,R64,WEST,2014.0
Appalachian State,30.0,9.0,21.0,0.3,-15.32,-7.13,5.0,11.0,7.0,7.0,2.0,13.0,67.8,71.73333333333333,1210.0,23.966666666666665,57.66666666666666,416.0,5.033333333333333,16.666666666666668,302.0,14.833333333333334,23.23333333333333,638.0,23.3,13.066666666666666,36.36666666666667,10.9,6.233333333333333,2.7666666666666666,12.066666666666666,19.9,67.4,99.8,403.0,289.0,493.0,506.0,455.0,92.0,72.0,459.0,149.0,0.34,257.0,,,,2014.0
